implicit,explicit,raceomb,sex,politics,year,age,education
0.831426888,6,6,f,2,2015,41,7
-0.304706812,3,3,f,2,2011,24,6
-0.748471947,4,6,f,7,2012,33,10
0.400177755,6.5,6,m,2,2008,26,7
-0.145394253,4.5,6,f,NA,2010,19,NA
0.186934066,5,3,f,5,2007,32,9
0.050160363,5,6,f,4,2014,22,5
1.137505023,6,3,m,2,2009,26,7
0.724012233,6,6,f,1,2013,18,4
0.464005224,4.5,6,f,NA,2011,21,5
0.077713523,5,6,f,5,2010,17,5
0.938728719,5,6,f,7,2015,34,10
-0.148886198,6,2,f,4,2015,22,5
0.496997698,4.5,6,f,6,2008,18,5
-0.066812267,2.5,NA,f,4,2015,21,5
-0.169804006,5,6,f,4,2013,38,8
-0.839262508,4,6,f,2,2014,17,3
0.418503369,4.5,9,m,4,2008,52,9
0.696842529,6.5,6,f,4,2014,21,4
-0.461491152,4,8,f,6,2014,19,5
0.444393145,4,2,f,4,2011,40,7
0.4652476,4,6,f,7,2009,24,7
0.601849447,6,6,m,4,2015,18,5
0.380224461,5,6,m,4,2009,16,4
0.59926195,5,6,m,5,2009,21,5
-0.012512915,4.5,6,m,5,2015,45,7
0.183078367,5,6,f,1,2010,36,6
0.165178353,4,NA,.,NA,2008,NA,NA
0.732076968,4,6,f,1,2009,52,5
0.410759319,6.5,5,m,NA,2010,25,5
1.18325442,4.5,6,f,4,2012,41,8
0.109469142,4.5,6,f,3,2009,20,5
0.508038358,5.5,6,m,2,2011,56,10
0.719430884,5.5,6,f,6,2015,19,5
0.879895356,5.5,6,f,3,2012,25,7
-0.227833401,4.5,6,m,4,2014,25,8
0.90090931,4.5,NA,f,7,2009,47,7
-0.709951764,4,6,f,7,2013,27,10
0.399609327,4.5,6,f,5,2011,20,5
0.072505095,4.5,9,m,4,2007,55,5
0.384175448,6,6,f,5,2015,15,3
0.308394466,4.5,8,f,6,2015,20,5
-0.024273489,4,9,f,4,2009,31,5
0.054798642,4,9,m,6,2013,24,7
0.760102328,4,6,m,6,2009,21,5
0.356390057,5,6,m,3,2007,42,9
0.632808381,5,6,f,4,2015,19,4
0.195938818,4,6,f,NA,2013,17,3
0.86768674,5,6,f,1,2007,28,7
0.31556134,6,5,f,4,2009,27,8
0.798599036,4,6,f,6,2009,15,3
0.289164991,5,6,f,6,2008,18,4
0.999032886,4,8,f,7,2009,23,8
-0.307270107,4,7,m,2,2012,29,5
-0.001741042,6,8,m,5,2015,21,7
0.825842727,5,6,f,4,2012,58,7
0.553141998,5.5,6,f,7,2013,28,10
0.625856585,7,6,f,1,2011,22,6
