Implicit,Explicit,racenum,sexnum,politics,age,year,education,datecode,numiats,Age_group
1.0050590553196082,4,NA,NA,NA,NA,2017,9,3992,NA,NA
0.8165576033259079,7,6,0,7,19,2009,5,893,1,1
0.8654082311656888,4,6,1,4,19,2016,5,3374,1,1
-0.14653981999288165,3,6,1,5,34,2010,5,1192,4,3
0.4470682053787796,6,6,1,4,17,2008,3,484,1,1
0.3899001894843524,4,2,1,6,17,2013,5,2470,2,1
0.023366693917514975,3,NA,NA,NA,NA,2017,10,3963,NA,NA
1.0083673666588497,6,9,1,4,19,2008,4,680,1,1
1.047711229191687,6,6,0,5,17,2008,4,465,1,1
0.9195167171795834,4,6,1,6,16,2009,3,961,3,1
1.028956401726216,4,6,1,6,19,2010,5,1429,2,1
0.2445417116858863,4,5,1,4,31,2016,7,3384,3,3
0.006782798012657035,5,2,1,4,20,2013,5,2445,1,1
0.6158723328900745,3,6,1,4,21,2015,7,3237,1,2
-0.10275412841773593,4,6,1,1,19,2016,5,3368,1,1
-0.29130713181205425,7,6,1,4,15,2007,3,162,2,1
1.4026231326649294,5,5,1,3,42,2009,7,1042,3,4
0.6047402152070274,4,7,1,4,18,2013,5,2510,3,1
0.18866004160207228,5,6,1,3,15,2008,4,400,4,1
0.7785137171813962,3,NA,NA,NA,NA,2017,5,3761,NA,NA
0.16306193288214843,5,6,1,6,23,2015,7,3200,3,2
0.3612628430303819,4,6,1,4,27,2016,9,3441,1,2
0.01016379691926901,6,6,1,6,16,2012,10,2143,1,1
0.2260495555533624,3,6,1,4,18,2010,5,1383,5,1
0.6846795090021249,6,6,1,2,18,2012,5,1939,1,1
0.40623259777747045,4,6,1,3,21,2007,6,28,2,2
0.18815014205493358,4,6,1,2,50,2009,5,995,1,4
-0.5882677198264072,4,6,1,5,45,2015,9,3276,1,4
1.0031283594597658,4,3,1,4,20,2011,6,1478,1,1
0.5298084845399367,7,NA,NA,NA,NA,2017,5,3742,NA,NA
1.0809264072302611,4,5,1,6,34,2011,7,1619,4,3
0.7936318258149332,5,NA,NA,NA,NA,2017,8,3913,NA,NA
-0.014620184756887783,4,8,0,NA,14,2007,2,39,1,1
1.07599857824588,4,6,0,6,19,2010,5,1361,3,1
0.20555048769785933,5,6,0,6,50,2015,9,3132,2,4
0.5674627118100798,5,6,1,2,20,2014,4,2816,1,1
0.3307890072058561,4,6,NA,5,29,2011,8,1640,1,2
-0.14785468994703588,5,6,1,6,30,2009,9,778,3,2
-0.05912787107592607,5,6,1,4,18,2009,4,1054,2,1
0.7155094378181489,4,NA,NA,NA,NA,2017,7,3951,NA,NA
0.42393789404728477,4,6,1,3,46,2008,6,581,4,4
0.5761038054806803,5,6,1,6,NA,2010,9,1311,1,NA
0.5159413901680576,5,2,0,7,39,2013,7,2502,1,3
0.6207020034592738,4,3,0,6,30,2016,10,3352,1,2
0.39453429223623626,4,6,1,3,20,2009,7,993,1,1
0.11388229944248056,4,6,1,4,23,2007,7,281,2,2
